"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell type:ch1","treatment:ch1"
"PCOS6","GSM8534300","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907383","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188066","NONE","cumulus cells","pcos"
"PCOS7","GSM8534301","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907382","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188067","NONE","cumulus cells","pcos"
"PCOS8","GSM8534302","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907381","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188068","NONE","cumulus cells","pcos"
"PCOS9","GSM8534303","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907380","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188069","NONE","cumulus cells","pcos"
"PCOS10","GSM8534304","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907379","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188070","NONE","cumulus cells","pcos"
"PCOS11","GSM8534305","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907378","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188071","NONE","cumulus cells","pcos"
"PCOS12","GSM8534306","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907377","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188072","NONE","cumulus cells","pcos"
"PCOS13","GSM8534307","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907376","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188073","NONE","cumulus cells","pcos"
"PCOS14","GSM8534308","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907375","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188074","NONE","cumulus cells","pcos"
"PCOS15","GSM8534309","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907374","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188075","NONE","cumulus cells","pcos"
"PCOS16","GSM8534310","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907373","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188076","NONE","cumulus cells","pcos"
"PCOS17","GSM8534311","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907372","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188077","NONE","cumulus cells","pcos"
"PCOS18","GSM8534312","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907371","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188078","NONE","cumulus cells","pcos"
"PCOS19","GSM8534313","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907370","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188079","NONE","cumulus cells","pcos"
"PCOS20","GSM8534314","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907369","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188080","NONE","cumulus cells","pcos"
"PCOS21","GSM8534315","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907368","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188081","NONE","cumulus cells","pcos"
"PCOS22","GSM8534316","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907367","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188082","NONE","cumulus cells","pcos"
"PCOS23","GSM8534317","Public on Oct 30 2024","Sep 24 2024","Oct 30 2024","SRA","1","cumulus cells","Homo sapiens","cell type: cumulus cells","treatment: pcos","polyA RNA","Total RNA was extracted using the TRIzol reagent (Life Technologies, Carlsbad, USA) according to the manufacturer’s protocol.","The libraries were constructed using VAHTS Universal V6 RNA-seq Library Prep Kit according to the manufacturer’s instructions","9606","Illumina Casava1.7 software used for basecalling.","Raw reads of fastq format were firstly processed using fastp and the low quality reads were removed to obtain the clean reads.","The clean reads were mapped to the reference genome using HISAT2. FPKM of each gene was calculated and the read counts of each gene were obtained by HTSeq-count","Assembly: GRCh38","Supplementary files format and content: Matrix table with raw gene counts for every gene and every sample","Supplementary files format and content: Matrix table with FPKM values for every gene and every sample","GPL24676","Yuezhou,,Chen","yzchen415@126.com","08615889882620","Center for Reproductive Medicine","Zhongshan City People's Hospital","East 2 Sunwen Road","Zhongshan","518403","China","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN43907366","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX26188083","NONE","cumulus cells","pcos"
