"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","2/72","251/9507",0.00796812749003984,1.05212483399734,0.0731078603522497,0.570892844162042,0.73611256080564,0.709558529930924,"5420/596",2
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","2/72","252/9507",0.00793650793650794,1.04794973544974,0.0673895374090486,0.573075216877973,0.73611256080564,0.709558529930924,"84440/6457",2
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","2/72","253/9507",0.00790513833992095,1.04380764163373,0.0616935253320243,0.575249712213003,0.73611256080564,0.709558529930924,"5588/596",2
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","1/72","112/9507",0.00892857142857143,1.17894345238095,0.16640663249925,0.575343369397913,0.73611256080564,0.709558529930924,"596",1
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","1/72","115/9507",0.00869565217391304,1.1481884057971,0.139662015481133,0.585033022306781,0.73611256080564,0.709558529930924,"2560",1
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","1/72","115/9507",0.00869565217391304,1.1481884057971,0.139662015481133,0.585033022306781,0.73611256080564,0.709558529930924,"596",1
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","1/72","116/9507",0.00862068965517241,1.13829022988506,0.130905765256737,0.588214200159625,0.73611256080564,0.709558529930924,"2903",1
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","1/72","116/9507",0.00862068965517241,1.13829022988506,0.130905765256737,0.588214200159625,0.73611256080564,0.709558529930924,"596",1
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","1/72","117/9507",0.00854700854700855,1.12856125356125,0.122226234991597,0.591371326939362,0.73611256080564,0.709558529930924,"51179",1
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","1/72","120/9507",0.00833333333333333,1.10034722222222,0.0966332909230294,0.60070018720602,0.73980021572088,0.713113158855727,"596",1
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","1/72","122/9507",0.00819672131147541,1.0823087431694,0.0799287365407828,0.606802424130609,0.73980021572088,0.713113158855727,"5588",1
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","1/72","122/9507",0.00819672131147541,1.0823087431694,0.0799287365407828,0.606802424130609,0.73980021572088,0.713113158855727,"4624",1
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","1/72","128/9507",0.0078125,1.03157552083333,0.0314174867609766,0.624562698965894,0.752971547624213,0.725809356964794,"5169",1
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","1/72","130/9507",0.00769230769230769,1.01570512820513,0.0157498131230943,0.630305136153904,0.752971547624213,0.725809356964794,"6013",1
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","1/72","133/9507",0.0075187969924812,0.992794486215539,-0.00731008623397003,0.638756762310428,0.752971547624213,0.725809356964794,"10018",1
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome","1/72","133/9507",0.0075187969924812,0.992794486215539,-0.00731008623397003,0.638756762310428,0.752971547624213,0.725809356964794,"10053",1
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","1/72","133/9507",0.0075187969924812,0.992794486215539,-0.00731008623397003,0.638756762310428,0.752971547624213,0.725809356964794,"2903",1
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","1/72","139/9507",0.00719424460431655,0.949940047961631,-0.0519360108914126,0.655092482029859,0.762373307268049,0.734871963836144,"596",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","2/72","298/9507",0.00671140939597315,0.886185682326622,-0.174378523307125,0.664915869141283,0.762373307268049,0.734871963836144,"130399/6362",2
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","1/72","143/9507",0.00699300699300699,0.923368298368298,-0.0806566140550169,0.665575999460845,0.762373307268049,0.734871963836144,"9846",1
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","1/72","144/9507",0.00694444444444444,0.916956018518518,-0.0877154505009147,0.668147392886605,0.762373307268049,0.734871963836144,"1571",1
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","1/72","144/9507",0.00694444444444444,0.916956018518518,-0.0877154505009147,0.668147392886605,0.762373307268049,0.734871963836144,"2903",1
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","1/72","148/9507",0.00675675675675676,0.892173423423423,-0.115487811591582,0.678239429387217,0.764594810073235,0.737013329638896,"81029",1
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","1/72","149/9507",0.00671140939597315,0.886185682326622,-0.122318659742681,0.680714775159642,0.764594810073235,0.737013329638896,"2560",1
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","1/72","154/9507",0.00649350649350649,0.85741341991342,-0.155832395513158,0.692812588386091,0.764594810073235,0.737013329638896,"1728",1
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","1/72","155/9507",0.00645161290322581,0.851881720430108,-0.162411381263734,0.695177336983996,0.764594810073235,0.737013329638896,"55799",1
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","1/72","155/9507",0.00645161290322581,0.851881720430108,-0.162411381263734,0.695177336983996,0.764594810073235,0.737013329638896,"81029",1
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","1/72","157/9507",0.00636942675159236,0.841029723991507,-0.175450314073076,0.699853109350703,0.764594810073235,0.737013329638896,"81029",1
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","1/72","158/9507",0.00632911392405063,0.835706751054852,-0.18191138588335,0.702164400915061,0.764594810073235,0.737013329638896,"81029",1
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","1/72","159/9507",0.00628930817610063,0.830450733752621,-0.188334258223833,0.704458139618036,0.764594810073235,0.737013329638896,"596",1
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","1/72","163/9507",0.00613496932515337,0.810071574642127,-0.21365425969323,0.713460180102219,0.769672194292091,0.74190755570438,"596",1
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","1/72","166/9507",0.00602409638554217,0.795431726907631,-0.232268244711237,0.72003375000077,0.772084382530946,0.744232728282343,"4624",1
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","1/72","182/9507",0.00549450549450549,0.725503663003663,-0.326619438675395,0.752659943889535,0.802236347379265,0.773297011370906,"596",1
"Human Diseases","Substance dependence","hsa05034","Alcoholism","1/72","191/9507",0.00523560209424084,0.691317626527051,-0.376450584282342,0.769333303517157,0.814044761048085,0.784679456243867,"2903",1
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","1/72","193/9507",0.00518134715025907,0.684153713298791,-0.387240269818285,0.772885194478238,0.814044761048085,0.784679456243867,"6362",1
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","1/72","196/9507",0.00510204081632653,0.673681972789116,-0.403241424288094,0.778112136530799,0.814729178249895,0.785339184238515,"5155",1
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","1/72","204/9507",0.00490196078431373,0.647263071895425,-0.44488596245022,0.791477708512327,0.823877380790609,0.794157380655644,"81029",1
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","2/72","391/9507",0.0051150895140665,0.67540494458653,-0.572561736392271,0.802373736020403,0.830363517509487,0.800409540828187,"81029/2903",2
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","1/72","226/9507",0.00442477876106195,0.584255162241888,-0.552558036232929,0.824274694546403,0.848097662596877,0.817503956258374,"2903",1
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","1/72","238/9507",0.00420168067226891,0.554796918767507,-0.607609282227068,0.839962210553615,0.859271686658296,0.828274896069203,"4938",1
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","2/72","454/9507",0.00440528634361234,0.581681350954479,-0.797871759276804,0.864950005361641,0.879777719739269,0.848041208264346,"26189/119687",2
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","1/72","278/9507",0.00359712230215827,0.474970023980815,-0.776110172166565,0.882924023494809,0.892957251034523,0.860745309985968,"2903",1
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","1/72","311/9507",0.00321543408360129,0.42457127545552,-0.901293941168752,0.909629910062885,0.914769062097139,0.88177029640351,"2878",1
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","1/72","333/9507",0.003003003003003,0.396521521521522,-0.979261626490912,0.923995833737055,0.923995833737055,0.890664227670845,"81029",1
