#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACE2	AGTR2	9606.ENSP00000389326	9606.ENSP00000360973	0	0	0	0	0.072	0	0	0.952	0.954
ACE2	AGTR1	9606.ENSP00000389326	9606.ENSP00000398832	0	0	0	0	0	0	0	0.996	0.996
ACER1	ACER2	9606.ENSP00000301452	9606.ENSP00000342609	0	0	0.090	0.897	0	0	0.900	0.142	0.915
ACHE	AGRN	9606.ENSP00000303211	9606.ENSP00000368678	0	0	0	0	0.089	0.111	0	0.811	0.833
ACKR1	ACKR4	9606.ENSP00000357103	9606.ENSP00000249887	0	0	0	0	0.061	0	0	0.741	0.747
ACKR1	ACKR2	9606.ENSP00000357103	9606.ENSP00000416996	0	0	0	0	0.064	0	0	0.706	0.713
ACKR3	ADM	9606.ENSP00000272928	9606.ENSP00000436607	0	0	0	0	0.056	0	0	0.871	0.873
ACLY	ACO2	9606.ENSP00000466259	9606.ENSP00000216254	0.091	0	0	0	0.105	0.095	0.936	0.739	0.985
ACLY	ACSS2	9606.ENSP00000466259	9606.ENSP00000253382	0	0	0	0	0.144	0	0	0.848	0.865
ACLY	ACO1	9606.ENSP00000466259	9606.ENSP00000309477	0.091	0	0	0	0.116	0.095	0.936	0.656	0.981
ACLY	ACSS1	9606.ENSP00000466259	9606.ENSP00000316924	0	0	0	0	0.116	0	0	0.827	0.840
ACLY	ACSL1	9606.ENSP00000466259	9606.ENSP00000422607	0	0	0	0	0.079	0	0	0.722	0.734
ACLY	ADSL	9606.ENSP00000466259	9606.ENSP00000485525	0	0	0	0	0.122	0	0.800	0.369	0.879
ACO1	ACO2	9606.ENSP00000309477	9606.ENSP00000216254	0	0	0	0.651	0.054	0	0.913	0.358	0.943
ACO2	AFG3L2	9606.ENSP00000216254	9606.ENSP00000269143	0	0	0	0	0.096	0.239	0	0.631	0.724
ACOT11	ACOT13	9606.ENSP00000360366	9606.ENSP00000230048	0	0	0	0	0.050	0	0.400	0.722	0.827
ACOT12	ACOT13	9606.ENSP00000303246	9606.ENSP00000230048	0	0	0	0	0.050	0	0.400	0.570	0.733
ACOT12	ACSS2	9606.ENSP00000303246	9606.ENSP00000253382	0	0	0	0	0	0	0.900	0.607	0.959
ACOT12	ACYP2	9606.ENSP00000303246	9606.ENSP00000475986	0	0	0	0	0	0	0.900	0.153	0.911
ACOT12	ACYP1	9606.ENSP00000303246	9606.ENSP00000450873	0	0	0	0	0	0	0.900	0.268	0.923
ACOT12	ACSS1	9606.ENSP00000303246	9606.ENSP00000316924	0	0	0	0	0	0	0.900	0.576	0.955
ACOT13	ACOT8	9606.ENSP00000230048	9606.ENSP00000217455	0	0	0	0	0.067	0	0	0.710	0.718
ACOT13	ACOT7	9606.ENSP00000230048	9606.ENSP00000367086	0	0	0	0	0.068	0	0.400	0.653	0.789
ACOT2	ACOT8	9606.ENSP00000238651	9606.ENSP00000217455	0	0	0	0	0.056	0	0	0.956	0.957
ACOT2	ACOX1	9606.ENSP00000238651	9606.ENSP00000293217	0	0	0	0	0.055	0	0.500	0.511	0.749
ACOT2	ACOT9	9606.ENSP00000238651	9606.ENSP00000368605	0	0	0	0	0.081	0	0.400	0.614	0.768
ACOT2	ACOT4	9606.ENSP00000238651	9606.ENSP00000323071	0	0	0.054	0.973	0.149	0	0.900	0.059	0.914
ACOT2	ACOT7	9606.ENSP00000238651	9606.ENSP00000367086	0	0	0	0	0.081	0	0.900	0.461	0.946
ACOT4	ACOX1	9606.ENSP00000323071	9606.ENSP00000293217	0	0	0	0	0.055	0	0.500	0.454	0.719
ACOT4	ACOT7	9606.ENSP00000323071	9606.ENSP00000367086	0	0	0	0	0.072	0	0.900	0.461	0.945
ACOT8	ACOT9	9606.ENSP00000217455	9606.ENSP00000368605	0	0	0	0	0.054	0	0	0.703	0.707
ACOT8	ACOX1	9606.ENSP00000217455	9606.ENSP00000293217	0.042	0	0	0	0.113	0	0.500	0.519	0.768
ACOX1	AGXT2	9606.ENSP00000293217	9606.ENSP00000231420	0.042	0	0	0	0.086	0	0.800	0.116	0.824
ACOX1	ACSS2	9606.ENSP00000293217	9606.ENSP00000253382	0.044	0	0	0	0.217	0	0.915	0.432	0.959
ACOX1	ADIPOQ	9606.ENSP00000293217	9606.ENSP00000389814	0	0	0	0	0	0	0	0.711	0.711
ACOX1	ACSL6	9606.ENSP00000293217	9606.ENSP00000498260	0.050	0	0	0	0.195	0.096	0.288	0.508	0.714
ACOX1	ACSL5	9606.ENSP00000293217	9606.ENSP00000348429	0.050	0	0	0	0.197	0.089	0.288	0.571	0.749
ACOX1	ACSL4	9606.ENSP00000293217	9606.ENSP00000339787	0.050	0	0	0	0.140	0.071	0.430	0.575	0.782
ACOX1	ACSL3	9606.ENSP00000293217	9606.ENSP00000350012	0.050	0	0	0	0.166	0.071	0.430	0.598	0.800
ACOX1	ACSL1	9606.ENSP00000293217	9606.ENSP00000422607	0.050	0	0	0	0.244	0.089	0.288	0.689	0.829
ACOX1	ACOX2	9606.ENSP00000293217	9606.ENSP00000307697	0	0	0.082	0.916	0.042	0	0.900	0.115	0.911
ACOX1	ACOX3	9606.ENSP00000293217	9606.ENSP00000348775	0	0	0.150	0.758	0.117	0	0.900	0.273	0.938
ACOX1	ACSS3	9606.ENSP00000293217	9606.ENSP00000449535	0.044	0	0	0	0.194	0	0.915	0.298	0.948
ACOX1	ACSS1	9606.ENSP00000293217	9606.ENSP00000316924	0.044	0	0	0	0.189	0	0.915	0.421	0.956
ACOX2	ACSL3	9606.ENSP00000307697	9606.ENSP00000350012	0.050	0	0	0	0.147	0.071	0.430	0.422	0.706
ACOX2	ACSL4	9606.ENSP00000307697	9606.ENSP00000339787	0.050	0	0	0	0.140	0.071	0.430	0.436	0.711
ACOX2	ACSL1	9606.ENSP00000307697	9606.ENSP00000422607	0.050	0	0	0	0.201	0.089	0.288	0.531	0.727
ACOX2	ACOXL	9606.ENSP00000307697	9606.ENSP00000407761	0	0	0.148	0.642	0.109	0	0.700	0.170	0.785
ACOX2	ACOX3	9606.ENSP00000307697	9606.ENSP00000348775	0	0	0.162	0.730	0.110	0	0.900	0.328	0.943
ACOX3	AGXT2	9606.ENSP00000348775	9606.ENSP00000231420	0.042	0	0	0	0.066	0	0.800	0.092	0.815
ACOX3	ACSS2	9606.ENSP00000348775	9606.ENSP00000253382	0.044	0	0	0	0.195	0	0.915	0.394	0.955
ACOX3	ACSS1	9606.ENSP00000348775	9606.ENSP00000316924	0.044	0	0	0	0.217	0	0.915	0.369	0.954
ACOX3	ACSS3	9606.ENSP00000348775	9606.ENSP00000449535	0.044	0	0	0	0.200	0	0.915	0.136	0.936
ACRV1	ACVR1	9606.ENSP00000432816	9606.ENSP00000405004	0	0	0	0	0	0.095	0	0.806	0.816
ACSBG1	ACSL1	9606.ENSP00000258873	9606.ENSP00000422607	0	0	0.193	0.644	0.079	0	0.600	0.228	0.740
ACSBG1	ACSL5	9606.ENSP00000258873	9606.ENSP00000348429	0	0	0.200	0.628	0.078	0	0.600	0.223	0.740
ACSBG1	ACSL4	9606.ENSP00000258873	9606.ENSP00000339787	0	0	0.184	0.597	0.057	0.066	0.600	0.278	0.754
ACSBG1	ACSL6	9606.ENSP00000258873	9606.ENSP00000498260	0	0	0.200	0.617	0.115	0	0.600	0.246	0.758
ACSBG1	ACSL3	9606.ENSP00000258873	9606.ENSP00000350012	0	0	0.188	0.607	0.057	0.066	0.600	0.295	0.762
ACSBG2	ACSL4	9606.ENSP00000465589	9606.ENSP00000339787	0	0	0.182	0.610	0.057	0.066	0.600	0.204	0.728
ACSBG2	ACSL5	9606.ENSP00000465589	9606.ENSP00000348429	0	0	0.201	0.629	0.078	0	0.600	0.191	0.729
ACSBG2	ACSL3	9606.ENSP00000465589	9606.ENSP00000350012	0	0	0.192	0.602	0.057	0.066	0.600	0.202	0.731
ACSBG2	ACSL1	9606.ENSP00000465589	9606.ENSP00000422607	0	0	0.202	0.622	0.078	0	0.600	0.176	0.725
ACSBG2	ACSL6	9606.ENSP00000465589	9606.ENSP00000498260	0	0	0.204	0.610	0.074	0	0.600	0.152	0.716
ACSL1	ACSL4	9606.ENSP00000422607	9606.ENSP00000339787	0	0	0.143	0.775	0.082	0.066	0.600	0.340	0.770
ACSL1	ACSL3	9606.ENSP00000422607	9606.ENSP00000350012	0	0	0.140	0.783	0.095	0.066	0.600	0.590	0.859
ACSL3	ACSL4	9606.ENSP00000350012	9606.ENSP00000339787	0	0	0.055	0.971	0.063	0.420	0.600	0.062	0.772
ACSL3	ACSL5	9606.ENSP00000350012	9606.ENSP00000348429	0	0	0.143	0.778	0.057	0.066	0.600	0.261	0.736
ACSL3	ACSL6	9606.ENSP00000350012	9606.ENSP00000498260	0	0	0.147	0.767	0.057	0.066	0.600	0.239	0.729
ACSL4	ACSL6	9606.ENSP00000339787	9606.ENSP00000498260	0	0	0.146	0.767	0.057	0.066	0.600	0.245	0.731
ACSL4	ACSL5	9606.ENSP00000339787	9606.ENSP00000348429	0	0	0.145	0.772	0.057	0.066	0.600	0.267	0.739
ACSM2A	ACSM2B	9606.ENSP00000459451	9606.ENSP00000327453	0	0	0.047	0.987	0.999	0.378	0	0.048	0.999
ACSS1	AGXT2	9606.ENSP00000316924	9606.ENSP00000231420	0	0	0	0	0.101	0	0.800	0.136	0.831
ACSS1	ACSS2	9606.ENSP00000316924	9606.ENSP00000253382	0	0	0.078	0.924	0.042	0	0.900	0.098	0.909
ACSS1	ACYP2	9606.ENSP00000316924	9606.ENSP00000475986	0	0	0	0	0	0	0.900	0.061	0.902
ACSS1	ACYP1	9606.ENSP00000316924	9606.ENSP00000450873	0	0	0	0	0.057	0	0.900	0.069	0.904
ACSS1	ACSS3	9606.ENSP00000316924	9606.ENSP00000449535	0	0	0.129	0.818	0.049	0	0.900	0.159	0.921
ACSS2	AGXT2	9606.ENSP00000253382	9606.ENSP00000231420	0	0	0	0	0.101	0	0.800	0.116	0.827
ACSS2	ACYP1	9606.ENSP00000253382	9606.ENSP00000450873	0	0	0	0	0.042	0	0.900	0.118	0.908
ACSS2	ACYP2	9606.ENSP00000253382	9606.ENSP00000475986	0	0	0	0	0	0	0.900	0.146	0.910
ACSS2	ACSS3	9606.ENSP00000253382	9606.ENSP00000449535	0	0	0.131	0.814	0.044	0	0.900	0.163	0.921
ACSS3	AGXT2	9606.ENSP00000449535	9606.ENSP00000231420	0	0	0	0	0.107	0	0.800	0.116	0.828
ACTA1	ACTA2	9606.ENSP00000355645	9606.ENSP00000224784	0	0	0.047	0.987	0.050	0.808	0.540	0.048	0.910
ACTA1	ACTR10	9606.ENSP00000355645	9606.ENSP00000254286	0	0	0	0.697	0	0.402	0.540	0.140	0.743
ACTA1	ACTR3	9606.ENSP00000355645	9606.ENSP00000263238	0	0	0	0.865	0.067	0.926	0	0.078	0.931
ACTA1	ACTC1	9606.ENSP00000355645	9606.ENSP00000290378	0	0	0.047	0.987	0.455	0.800	0.540	0.406	0.966
ACTA1	ACVR2B	9606.ENSP00000355645	9606.ENSP00000340361	0	0	0	0	0.073	0.070	0	0.692	0.712
ACTA1	ACTN2	9606.ENSP00000355645	9606.ENSP00000355537	0	0	0	0	0.453	0.125	0	0.818	0.905
ACTA1	ACTN3	9606.ENSP00000355645	9606.ENSP00000422007	0	0	0	0	0.354	0.125	0	0.716	0.825
ACTA1	ACTB	9606.ENSP00000355645	9606.ENSP00000494750	0	0	0.047	0.986	0	0.900	0	0.050	0.901
ACTA1	ACTG1	9606.ENSP00000355645	9606.ENSP00000458162	0	0	0.047	0.986	0	0.918	0	0.051	0.920
ACTA1	ACTG2	9606.ENSP00000355645	9606.ENSP00000386857	0	0	0.047	0.987	0.167	0.800	0.540	0.547	0.960
ACTA1	ACTR2	9606.ENSP00000355645	9606.ENSP00000367220	0	0	0	0.933	0	0.948	0	0.569	0.976
ACTA2	ACTR10	9606.ENSP00000224784	9606.ENSP00000254286	0	0	0	0.696	0	0.402	0.540	0.145	0.744
ACTA2	ACTN2	9606.ENSP00000224784	9606.ENSP00000355537	0	0	0	0	0.070	0.402	0	0.602	0.759
ACTA2	ACTC1	9606.ENSP00000224784	9606.ENSP00000290378	0	0	0.047	0.987	0.067	0.914	0.540	0.049	0.960
ACTA2	ACTG2	9606.ENSP00000224784	9606.ENSP00000386857	0	0	0.047	0.987	0.456	0.800	0.900	0.051	0.988
ACTB	ACTL6B	9606.ENSP00000494750	9606.ENSP00000160382	0	0	0	0.872	0	0.313	0.800	0.668	0.950
ACTB	ACTR5	9606.ENSP00000494750	9606.ENSP00000243903	0	0	0	0.644	0.042	0.328	0.800	0.151	0.876
ACTB	ACTR3C	9606.ENSP00000494750	9606.ENSP00000252071	0	0	0	0.830	0.067	0.298	0.900	0.677	0.976
ACTB	ACTN4	9606.ENSP00000494750	9606.ENSP00000252699	0	0	0	0	0.124	0.249	0.900	0.621	0.971
ACTB	ACTR10	9606.ENSP00000494750	9606.ENSP00000254286	0	0	0	0.701	0.074	0.946	0	0.772	0.987
ACTB	ACTR3B	9606.ENSP00000494750	9606.ENSP00000256001	0	0	0	0.871	0.067	0.298	0.900	0.674	0.975
ACTB	ACTR3	9606.ENSP00000494750	9606.ENSP00000263238	0	0	0	0.867	0.268	0.443	0.900	0.086	0.957
ACTB	ACTC1	9606.ENSP00000494750	9606.ENSP00000290378	0	0	0.047	0.986	0.663	0.598	0	0.418	0.914
ACTB	ACTR8	9606.ENSP00000494750	9606.ENSP00000336842	0	0	0	0	0	0.472	0.800	0.150	0.902
ACTB	ACTN2	9606.ENSP00000494750	9606.ENSP00000355537	0	0	0	0	0.070	0.964	0	0.282	0.974
ACTB	AFDN	9606.ENSP00000494750	9606.ENSP00000355771	0	0	0	0	0	0	0.900	0.598	0.958
ACTB	ACTR1A	9606.ENSP00000494750	9606.ENSP00000358921	0	0	0.054	0.956	0.146	0.936	0	0.608	0.977
ACTB	ACTR2	9606.ENSP00000494750	9606.ENSP00000367220	0	0	0	0.935	0.335	0.525	0.900	0.128	0.968
ACTB	ACTN1	9606.ENSP00000494750	9606.ENSP00000377941	0	0	0	0	0.134	0.402	0.900	0.760	0.985
ACTB	ACTL6A	9606.ENSP00000494750	9606.ENSP00000397552	0	0	0	0.869	0.053	0.939	0.900	0.980	0.999
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0	0.047	0.987	0.778	0.983	0.900	0.795	0.999
ACTC1	ACTR10	9606.ENSP00000290378	9606.ENSP00000254286	0	0	0	0.700	0.067	0.402	0.540	0.131	0.747
ACTC1	ACTN2	9606.ENSP00000290378	9606.ENSP00000355537	0	0	0	0	0.174	0.125	0	0.694	0.760
ACTC1	ACTR1A	9606.ENSP00000290378	9606.ENSP00000358921	0	0	0.054	0.956	0.128	0.297	0.540	0.352	0.795
ACTC1	ACTG2	9606.ENSP00000290378	9606.ENSP00000386857	0	0	0.047	0.987	0.219	0.800	0.540	0.252	0.939
ACTG1	ACTL6B	9606.ENSP00000458162	9606.ENSP00000160382	0	0	0	0.873	0	0.313	0.800	0.429	0.914
ACTG1	ACTR3C	9606.ENSP00000458162	9606.ENSP00000252071	0	0	0	0.830	0.067	0.298	0.900	0.087	0.932
ACTG1	ACTN4	9606.ENSP00000458162	9606.ENSP00000252699	0	0	0	0	0.127	0.125	0.900	0.665	0.970
ACTG1	ACTR3B	9606.ENSP00000458162	9606.ENSP00000256001	0	0	0	0.870	0.067	0.298	0.900	0.083	0.931
ACTG1	ACTR3	9606.ENSP00000458162	9606.ENSP00000263238	0	0	0	0.868	0.114	0.298	0.900	0.103	0.936
ACTG1	AFDN	9606.ENSP00000458162	9606.ENSP00000355771	0	0	0	0	0.042	0	0.900	0.191	0.915
ACTG1	ACTR2	9606.ENSP00000458162	9606.ENSP00000367220	0	0	0	0.935	0.131	0.402	0.900	0.150	0.949
ACTG1	ACTN1	9606.ENSP00000458162	9606.ENSP00000377941	0	0	0	0	0.102	0.125	0.900	0.687	0.972
ACTG1	ACTL6A	9606.ENSP00000458162	9606.ENSP00000397552	0	0	0	0.870	0.074	0.416	0.800	0.502	0.939
ACTG2	ACTR10	9606.ENSP00000386857	9606.ENSP00000254286	0	0	0	0.695	0	0.402	0.540	0.141	0.743
ACTL10	ACTR10	9606.ENSP00000329647	9606.ENSP00000254286	0	0	0	0.623	0	0.402	0.540	0.131	0.740
ACTL6A	ACTL6B	9606.ENSP00000397552	9606.ENSP00000160382	0	0	0.049	0.983	0	0	0.900	0.632	0.961
ACTL6A	ACTR6	9606.ENSP00000397552	9606.ENSP00000188312	0	0	0	0.628	0.108	0.356	0.540	0.236	0.771
ACTL6A	ACTR5	9606.ENSP00000397552	9606.ENSP00000243903	0	0	0	0.566	0.075	0.784	0.900	0.381	0.986
ACTL6A	ACTR8	9606.ENSP00000397552	9606.ENSP00000336842	0	0	0	0.571	0.085	0.919	0.900	0.399	0.995
ACTL6B	ACTR8	9606.ENSP00000160382	9606.ENSP00000336842	0	0	0	0.570	0	0.843	0	0.394	0.900
ACTL7A	ACTR10	9606.ENSP00000334300	9606.ENSP00000254286	0	0	0	0.624	0	0.402	0.540	0.131	0.740
ACTL7B	ACTR10	9606.ENSP00000363799	9606.ENSP00000254286	0	0	0	0.603	0	0.402	0.540	0.131	0.740
ACTL8	ACTR10	9606.ENSP00000364555	9606.ENSP00000254286	0	0	0	0.609	0	0.402	0.540	0.131	0.740
ACTL9	ACTR10	9606.ENSP00000316674	9606.ENSP00000254286	0	0	0	0.605	0	0.402	0.540	0.131	0.740
ACTN1	ACTN4	9606.ENSP00000377941	9606.ENSP00000252699	0	0	0.049	0.982	0.177	0.949	0.900	0.775	0.998
ACTN1	ACTN2	9606.ENSP00000377941	9606.ENSP00000355537	0	0	0.050	0.981	0	0.622	0.400	0.105	0.781
ACTN1	ACTN3	9606.ENSP00000377941	9606.ENSP00000422007	0	0	0.052	0.977	0.054	0.485	0.400	0.089	0.701
ACTN2	ACTN4	9606.ENSP00000355537	9606.ENSP00000252699	0	0	0.051	0.979	0	0.722	0.400	0.103	0.839
ACTN2	ACTN3	9606.ENSP00000355537	9606.ENSP00000422007	0	0	0.050	0.980	0.190	0.292	0.900	0.388	0.960
ACTR10	ACTR1B	9606.ENSP00000254286	9606.ENSP00000289228	0	0	0	0.642	0.124	0.940	0.900	0.237	0.995
ACTR10	ACTR1A	9606.ENSP00000254286	9606.ENSP00000358921	0	0	0	0.633	0.234	0.993	0.900	0.539	0.999
ACTR1A	ACTR1B	9606.ENSP00000358921	9606.ENSP00000289228	0	0	0.048	0.985	0.086	0.875	0.900	0.414	0.992
ACTR2	ACTR3C	9606.ENSP00000367220	9606.ENSP00000252071	0	0	0.071	0.817	0.390	0.778	0.650	0.975	0.998
ACTR2	ACTR3B	9606.ENSP00000367220	9606.ENSP00000256001	0	0	0.079	0.814	0.390	0.962	0.650	0.975	0.999
ACTR2	ACTR3	9606.ENSP00000367220	9606.ENSP00000263238	0	0	0.079	0.810	0.855	0.997	0.900	0.984	0.999
ACTR3	ACTR3B	9606.ENSP00000263238	9606.ENSP00000256001	0	0	0.048	0.985	0	0.824	0.650	0.044	0.936
ACTR5	ACTR8	9606.ENSP00000243903	9606.ENSP00000336842	0	0	0	0	0.141	0.920	0.900	0.797	0.998
ACTR6	ACTR8	9606.ENSP00000188312	9606.ENSP00000336842	0	0	0	0	0.116	0.128	0.540	0.362	0.743
ACVR1	ACVR2A	9606.ENSP00000405004	9606.ENSP00000241416	0	0	0.108	0.759	0.159	0.566	0.900	0.987	0.999
ACVR1	ACVR1C	9606.ENSP00000405004	9606.ENSP00000243349	0	0	0.067	0.929	0	0.045	0.900	0.090	0.908
ACVR1	ACVR2B	9606.ENSP00000405004	9606.ENSP00000340361	0	0	0.091	0.763	0.135	0.391	0.800	0.946	0.993
ACVR1	ACVRL1	9606.ENSP00000405004	9606.ENSP00000373574	0	0	0.060	0.956	0	0.559	0.540	0.846	0.966
ACVR1	ACVR1B	9606.ENSP00000405004	9606.ENSP00000442656	0	0	0.064	0.914	0	0.620	0.720	0.820	0.979
ACVR1B	ACVR2A	9606.ENSP00000442656	9606.ENSP00000241416	0	0	0	0.737	0.142	0.668	0.540	0.987	0.998
ACVR1B	ACVR1C	9606.ENSP00000442656	9606.ENSP00000243349	0	0	0.056	0.964	0	0.165	0.720	0.872	0.967
ACVR1B	ACVR2B	9606.ENSP00000442656	9606.ENSP00000340361	0	0	0	0.731	0.142	0.925	0.540	0.987	0.999
ACVR1C	ACVR2A	9606.ENSP00000243349	9606.ENSP00000241416	0	0	0	0.792	0.151	0.152	0.900	0.953	0.996
ACVR1C	ACVR2B	9606.ENSP00000243349	9606.ENSP00000340361	0	0	0	0.793	0.142	0.152	0.900	0.967	0.997
ACVR2A	ACVRL1	9606.ENSP00000241416	9606.ENSP00000373574	0	0	0	0.757	0.135	0.373	0.800	0.958	0.994
ACVR2A	ACVR2B	9606.ENSP00000241416	9606.ENSP00000340361	0	0	0.053	0.973	0.067	0.226	0.900	0.981	0.998
ACVR2B	ACVRL1	9606.ENSP00000340361	9606.ENSP00000373574	0	0	0	0.743	0.135	0.823	0	0.736	0.956
ACY1	ACY3	9606.ENSP00000384296	9606.ENSP00000255082	0	0	0	0	0.061	0	0	0.792	0.796
ACYP1	ACYP2	9606.ENSP00000450873	9606.ENSP00000475986	0	0	0.096	0.885	0.049	0	0.900	0.071	0.909
ADA	AHCY	9606.ENSP00000361965	9606.ENSP00000217426	0.045	0	0	0	0.087	0	0	0.805	0.815
ADA	ADARB1	9606.ENSP00000361965	9606.ENSP00000353920	0	0	0	0	0.048	0	0	0.832	0.833
ADA	ADORA1	9606.ENSP00000361965	9606.ENSP00000356205	0	0	0	0	0	0.226	0	0.791	0.831
ADA	ADAR	9606.ENSP00000361965	9606.ENSP00000357459	0	0	0	0	0.044	0	0	0.952	0.952
ADA	ADARB2	9606.ENSP00000361965	9606.ENSP00000370713	0	0	0	0	0	0	0	0.887	0.887
ADA	ADORA2A	9606.ENSP00000361965	9606.ENSP00000480012	0	0	0	0	0.112	0.292	0	0.864	0.907
ADA	ADA2	9606.ENSP00000361965	9606.ENSP00000382731	0	0	0	0	0.063	0	0.900	0.923	0.992
ADA	ADK	9606.ENSP00000361965	9606.ENSP00000443965	0	0	0	0	0.059	0.250	0.925	0.875	0.992
ADA2	ADK	9606.ENSP00000382731	9606.ENSP00000443965	0	0	0	0	0.067	0.135	0.925	0.505	0.966
ADAM10	AFDN	9606.ENSP00000260408	9606.ENSP00000355771	0	0	0	0	0.042	0	0.720	0.162	0.755
ADAM10	ADAM17	9606.ENSP00000260408	9606.ENSP00000309968	0	0	0	0.684	0.058	0	0.900	0.596	0.958
ADAM2	ADAM30	9606.ENSP00000265708	9606.ENSP00000358407	0	0	0	0.767	0.183	0.108	0.800	0.150	0.859
ADAM2	ADAM21	9606.ENSP00000265708	9606.ENSP00000474385	0	0	0.137	0.776	0.045	0.108	0.800	0.236	0.867
ADAM2	ADAM20	9606.ENSP00000265708	9606.ENSP00000498512	0	0	0.131	0.766	0.049	0.108	0.800	0.248	0.868
ADAM20	ADAM30	9606.ENSP00000498512	9606.ENSP00000358407	0	0	0.094	0.871	0.074	0	0.800	0.156	0.839
ADAM20	ADAM21	9606.ENSP00000498512	9606.ENSP00000474385	0	0	0.058	0.963	0.072	0	0.800	0.075	0.816
ADAM21	ADAM30	9606.ENSP00000474385	9606.ENSP00000358407	0	0	0.068	0.891	0.048	0	0.800	0.142	0.827
ADAM22	ADAM23	9606.ENSP00000265727	9606.ENSP00000264377	0	0	0.056	0.923	0.085	0.126	0.400	0.896	0.944
ADAM22	ADAM28	9606.ENSP00000265727	9606.ENSP00000265769	0	0	0	0.729	0	0.126	0	0.888	0.897
ADAR	AGO2	9606.ENSP00000357459	9606.ENSP00000220592	0	0	0	0	0.050	0.292	0	0.775	0.835
ADAR	ADAT3	9606.ENSP00000357459	9606.ENSP00000332448	0	0	0	0	0	0	0	0.706	0.706
ADAT1	ADAT2	9606.ENSP00000310015	9606.ENSP00000237283	0	0	0	0	0	0	0	0.931	0.931
ADAT1	ADAT3	9606.ENSP00000310015	9606.ENSP00000332448	0	0	0	0	0	0	0	0.953	0.953
ADAT2	ADAT3	9606.ENSP00000237283	9606.ENSP00000332448	0	0	0	0	0.111	0.975	0.900	0.999	0.999
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0.068	0.852	0.109	0	0.900	0.165	0.921
ADCY1	ADCY9	9606.ENSP00000297323	9606.ENSP00000294016	0	0	0	0.703	0.073	0.124	0.500	0.511	0.775
ADCY1	ADCY2	9606.ENSP00000297323	9606.ENSP00000342952	0	0	0.074	0.833	0.084	0	0.500	0.408	0.715
ADCY1	ADCY7	9606.ENSP00000297323	9606.ENSP00000501053	0	0	0.087	0.831	0	0	0.500	0.432	0.718
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000384484	0	0	0	0.811	0	0	0.900	0.137	0.910
ADCY2	ADCY6	9606.ENSP00000342952	9606.ENSP00000311405	0	0	0.074	0.864	0	0.534	0.500	0.107	0.781
ADCY2	ADCY5	9606.ENSP00000342952	9606.ENSP00000419361	0	0	0.066	0.871	0.084	0.653	0.500	0.379	0.891
ADCY3	ADCY8	9606.ENSP00000384484	9606.ENSP00000286355	0	0	0	0.851	0	0	0.900	0.178	0.914
ADCY3	ADCY9	9606.ENSP00000384484	9606.ENSP00000294016	0	0	0	0.706	0.069	0.124	0.900	0.278	0.933
ADCY3	ADCY6	9606.ENSP00000384484	9606.ENSP00000311405	0	0	0.087	0.830	0.042	0	0.900	0.185	0.919
ADCY4	ADCY8	9606.ENSP00000312126	9606.ENSP00000286355	0	0	0.076	0.836	0.054	0	0.900	0.451	0.945
ADCY4	ADCY9	9606.ENSP00000312126	9606.ENSP00000294016	0	0	0	0.731	0.062	0.271	0.500	0.272	0.717
ADCY4	ADCY6	9606.ENSP00000312126	9606.ENSP00000311405	0	0	0.091	0.858	0.050	0.417	0.900	0.151	0.949
ADCY4	ADCY7	9606.ENSP00000312126	9606.ENSP00000501053	0	0	0.071	0.938	0	0.271	0.500	0.427	0.780
ADCY4	ADCY5	9606.ENSP00000312126	9606.ENSP00000419361	0	0	0.082	0.853	0.044	0.417	0.500	0.457	0.835
ADCY5	ADRA2A	9606.ENSP00000419361	9606.ENSP00000280155	0	0	0	0	0.125	0	0.500	0.449	0.738
ADCY5	ADCY8	9606.ENSP00000419361	9606.ENSP00000286355	0	0	0.070	0.865	0.099	0	0.500	0.409	0.719
ADCY5	ADCY9	9606.ENSP00000419361	9606.ENSP00000294016	0	0	0	0.675	0.062	0.124	0.500	0.629	0.827
ADCY5	ADORA2B	9606.ENSP00000419361	9606.ENSP00000304501	0	0	0	0	0	0	0.500	0.451	0.714
ADCY5	ADCY6	9606.ENSP00000419361	9606.ENSP00000311405	0	0	0.056	0.968	0.062	0	0.900	0.602	0.960
ADCY5	ADORA2A	9606.ENSP00000419361	9606.ENSP00000480012	0	0	0	0	0	0	0	0.725	0.725
ADCY5	ADCY7	9606.ENSP00000419361	9606.ENSP00000501053	0	0	0.076	0.852	0	0.417	0.500	0.373	0.808
ADCY6	ADCY8	9606.ENSP00000311405	9606.ENSP00000286355	0	0	0.066	0.871	0	0	0.900	0.138	0.912
ADCY6	ADCY9	9606.ENSP00000311405	9606.ENSP00000294016	0	0	0	0.693	0.076	0.124	0.900	0.544	0.958
ADCY6	ADCY7	9606.ENSP00000311405	9606.ENSP00000501053	0	0	0.094	0.849	0	0.417	0.500	0.157	0.747
